2026-08-08 16:19:05,711 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 16:23:44,835 | INFO | Training completed in 0:04:39.149095.
2026-08-08 16:23:44,836 | INFO | Training history saved.
2026-08-08 16:23:45,195 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\mobilenet_v2\best_model.keras
2026-08-08 16:23:45,195 | INFO | Evaluating model...
2026-08-08 16:23:46,877 | INFO | Model evaluation completed.
2026-08-08 16:23:46,878 | INFO | Metrics exported.
2026-08-08 16:23:49,568 | INFO | Confusion matrix computed and saved.
2026-08-08 16:23:51,242 | INFO | Classification report saved.
2026-08-08 16:23:52,944 | INFO | Sklearn metrics computed and saved.
2026-08-08 16:23:54,363 | INFO | Inference time: 11.00 ms/image (128 samples)
2026-08-08 16:23:54,364 | INFO | Model size: 9.24 MB
2026-08-08 16:23:55,195 | INFO | Training curves saved.
2026-08-08 16:23:55,198 | INFO | Training report generated.
2026-08-08 16:23:55,201 | INFO | Benchmark results updated for mobilenet_v2
2026-08-08 16:23:55,201 | INFO | Training pipeline completed.
2026-08-08 16:24:36,336 | INFO | Trainer initialized.
2026-08-08 16:24:36,336 | INFO | Trainer validated.
2026-08-08 16:24:41,503 | INFO | Starting training...
2026-08-08 16:24:41,721 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 16:28:43,941 | INFO | Training completed in 0:04:02.433942.
2026-08-08 16:28:44,049 | INFO | Training history saved.
2026-08-08 16:28:45,208 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\efficientnet_b0\best_model.keras
2026-08-08 16:28:45,209 | INFO | Evaluating model...
2026-08-08 16:28:50,013 | INFO | Model evaluation completed.
2026-08-08 16:28:50,015 | INFO | Metrics exported.
2026-08-08 16:28:59,738 | INFO | Confusion matrix computed and saved.
2026-08-08 16:29:03,951 | INFO | Classification report saved.
2026-08-08 16:29:08,232 | INFO | Sklearn metrics computed and saved.
2026-08-08 16:29:13,415 | INFO | Inference time: 26.10 ms/image (128 samples)
2026-08-08 16:29:13,415 | INFO | Model size: 16.32 MB
2026-08-08 16:29:20,613 | INFO | Training curves saved.
2026-08-08 16:29:20,678 | INFO | Training report generated.
2026-08-08 16:29:20,752 | INFO | Benchmark results updated for efficientnet_b0
2026-08-08 16:29:20,752 | INFO | Training pipeline completed.
2026-08-08 16:30:46,032 | INFO | Trainer initialized.
2026-08-08 16:30:46,032 | INFO | Trainer validated.
2026-08-08 16:30:46,170 | INFO | Starting training...
2026-08-08 16:30:46,203 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 16:42:07,275 | INFO | Training completed in 0:11:21.101434.
2026-08-08 16:42:07,283 | INFO | Training history saved.
2026-08-08 16:42:08,027 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\resnet50\best_model.keras
2026-08-08 16:42:08,028 | INFO | Evaluating model...
2026-08-08 16:42:11,822 | INFO | Model evaluation completed.
2026-08-08 16:42:11,823 | INFO | Metrics exported.
2026-08-08 16:42:17,377 | INFO | Confusion matrix computed and saved.
2026-08-08 16:42:21,284 | INFO | Classification report saved.
2026-08-08 16:42:25,208 | INFO | Sklearn metrics computed and saved.
2026-08-08 16:42:28,264 | INFO | Inference time: 23.80 ms/image (128 samples)
2026-08-08 16:42:28,265 | INFO | Model size: 90.71 MB
2026-08-08 16:42:29,367 | INFO | Training curves saved.
2026-08-08 16:42:29,371 | INFO | Training report generated.
2026-08-08 16:42:29,374 | INFO | Benchmark results updated for resnet50
2026-08-08 16:42:29,375 | INFO | Training pipeline completed.
2026-08-08 17:11:31,866 | INFO | Trainer initialized.
2026-08-08 17:11:31,867 | INFO | Trainer validated.
2026-08-08 17:11:31,889 | INFO | Starting training...
2026-08-08 17:11:31,905 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 17:13:10,691 | INFO | Training completed in 0:01:38.801848.
2026-08-08 17:13:10,693 | INFO | Training history saved.
2026-08-08 17:13:11,023 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\mobilenet_v2\best_model.keras
2026-08-08 17:13:11,023 | INFO | Evaluating model...
2026-08-08 17:13:12,455 | INFO | Model evaluation completed.
2026-08-08 17:13:12,456 | INFO | Metrics exported.
2026-08-08 17:13:14,789 | INFO | Confusion matrix computed and saved.
2026-08-08 17:13:16,278 | INFO | Classification report saved.
2026-08-08 17:13:17,763 | INFO | Sklearn metrics computed and saved.
